"83","collar","structure",NULL,NULL,NULL,NULL,NULL,"0"
"84","colleplax","structure",NULL,NULL,NULL,NULL,NULL,"0"
"85","comae","structure",NULL,NULL,NULL,NULL,NULL,"0"
"86","commissure","structure",NULL,NULL,NULL,NULL,NULL,"0"
"87","component","structure",NULL,NULL,NULL,NULL,NULL,"0"
"88","components","structure",NULL,NULL,NULL,NULL,NULL,"0"
"89","cone","structure",NULL,NULL,NULL,NULL,NULL,"0"
"90","cones","structure",NULL,NULL,NULL,NULL,NULL,"0"
"91","constriction","structure",NULL,NULL,NULL,NULL,NULL,"0"
"92","corpus","structure",NULL,NULL,NULL,NULL,NULL,"0"
"93","corrugations","structure",NULL,NULL,NULL,NULL,NULL,"0"
"94","coscinidium","structure",NULL,NULL,NULL,NULL,NULL,"0"
"95","costa","structure",NULL,NULL,NULL,NULL,NULL,"0"
"96","costae","structure",NULL,NULL,NULL,NULL,NULL,"0"
"97","costation","structure",NULL,NULL,NULL,NULL,NULL,"0"
"98","costella","structure",NULL,NULL,NULL,NULL,NULL,"0"
"99","costellae","structure",NULL,NULL,NULL,NULL,NULL,"0"
"100","costellation","structure",NULL,NULL,NULL,NULL,NULL,"0"
"103","cowl","structure",NULL,NULL,NULL,NULL,NULL,"0"
"104","crenulations","structure",NULL,NULL,NULL,NULL,NULL,"0"
"105","crest","structure",NULL,NULL,NULL,NULL,NULL,"0"
"106","crests","structure",NULL,NULL,NULL,NULL,NULL,"0"
"107","crossbars","structure",NULL,NULL,NULL,NULL,NULL,"0"
"108","cruralium","structure",NULL,NULL,NULL,NULL,NULL,"0"
"109","cup","structure",NULL,NULL,NULL,NULL,NULL,"0"
"110","curve","structure",NULL,NULL,NULL,NULL,NULL,"0"
"111","dalmanellidines","structure",NULL,NULL,NULL,NULL,NULL,"0"
"112","dalmanellids","structure",NULL,NULL,NULL,NULL,NULL,"0"
"113","dalmanelloids","structure",NULL,NULL,NULL,NULL,NULL,"0"
"114","deflection","structure",NULL,NULL,NULL,NULL,NULL,"0"
"115","delthyria","structure",NULL,NULL,NULL,NULL,NULL,"0"
"116","delthyrium","structure",NULL,NULL,NULL,NULL,NULL,"0"
"117","deltidium","structure",NULL,NULL,NULL,NULL,NULL,"0"
"118","denticles","structure",NULL,NULL,NULL,NULL,NULL,"0"
"119","denticulation","structure",NULL,NULL,NULL,NULL,NULL,"0"
"120","denticulations","structure",NULL,NULL,NULL,NULL,NULL,"0"
"121","deposit","structure",NULL,NULL,NULL,NULL,NULL,"0"
"122","depression","structure",NULL,NULL,NULL,NULL,NULL,"0"
"123","depressions","structure",NULL,NULL,NULL,NULL,NULL,"0"
"124","depth","structure",NULL,NULL,NULL,NULL,NULL,"0"
"125","diaphragm","structure",NULL,NULL,NULL,NULL,NULL,"0"
"126","diaphragms","structure",NULL,NULL,NULL,NULL,NULL,"0"
"127","diductor","structure",NULL,NULL,NULL,NULL,NULL,"0"
"128","diductors","structure",NULL,NULL,NULL,NULL,NULL,"0"
"129","differentiation","structure",NULL,NULL,NULL,NULL,NULL,"0"
"130","dignomia","structure",NULL,NULL,NULL,NULL,NULL,"0"
"131","dimples","structure",NULL,NULL,NULL,NULL,NULL,"0"
"132","disc","structure",NULL,NULL,NULL,NULL,NULL,"0"
"133","disk","structure",NULL,NULL,NULL,NULL,NULL,"0"
"134","disks","structure",NULL,NULL,NULL,NULL,NULL,"0"
"135","dissepiments","structure",NULL,NULL,NULL,NULL,NULL,"0"
"136","disturbances","structure",NULL,NULL,NULL,NULL,NULL,"0"
"137","draboviids","structure",NULL,NULL,NULL,NULL,NULL,"0"
"138","drapes","structure",NULL,NULL,NULL,NULL,NULL,"0"
"139","ear","structure",NULL,NULL,NULL,NULL,NULL,"0"
"140","ears","structure",NULL,NULL,NULL,NULL,NULL,"0"
"141","echinoconchoids","structure",NULL,NULL,NULL,NULL,NULL,"0"
"142","edge","structure",NULL,NULL,NULL,NULL,NULL,"0"
"143","edges","structure",NULL,NULL,NULL,NULL,NULL,"0"
"144","elevation","structure",NULL,NULL,NULL,NULL,NULL,"0"
"145","elevations","structure",NULL,NULL,NULL,NULL,NULL,"0"
"146","elytridium","structure",NULL,NULL,NULL,NULL,NULL,"0"
"147","emarginature","structure",NULL,NULL,NULL,NULL,NULL,"0"
"148","endopunctae","structure",NULL,NULL,NULL,NULL,NULL,"0"
"149","endospines","structure",NULL,NULL,NULL,NULL,NULL,"0"
"150","ends","structure",NULL,NULL,NULL,NULL,NULL,"0"
"151","enteletoids","structure",NULL,NULL,NULL,NULL,NULL,"0"
"152","epistome","structure",NULL,NULL,NULL,NULL,NULL,"0"
"153","epithelia","structure",NULL,NULL,NULL,NULL,NULL,"0"
"154","esophagus","structure",NULL,NULL,NULL,NULL,NULL,"0"
"155","exopunctae","structure",NULL,NULL,NULL,NULL,NULL,"0"
"156","expansions","structure",NULL,NULL,NULL,NULL,NULL,"0"
"157","extension","structure",NULL,NULL,NULL,NULL,NULL,"0"
"158","extensions","structure",NULL,NULL,NULL,NULL,NULL,"0"
"159","exterior","structure",NULL,NULL,NULL,NULL,NULL,"0"
"160","exteriors","structure",NULL,NULL,NULL,NULL,NULL,"0"
"161","extremities","structure",NULL,NULL,NULL,NULL,NULL,"0"
"162","extropunctae","structure",NULL,NULL,NULL,NULL,NULL,"0"
"163","face","structure",NULL,NULL,NULL,NULL,NULL,"0"
"164","faces","structure",NULL,NULL,NULL,NULL,NULL,"0"
"165","facets","structure",NULL,NULL,NULL,NULL,NULL,"0"
"166","field","structure",NULL,NULL,NULL,NULL,NULL,"0"
"167","fields","structure",NULL,NULL,NULL,NULL,NULL,"0"
"168","fila","structure",NULL,NULL,NULL,NULL,NULL,"0"
"169","filae","structure",NULL,NULL,NULL,NULL,NULL,"0"
"170","filaments","structure",NULL,NULL,NULL,NULL,NULL,"0"
"171","flange","structure",NULL,NULL,NULL,NULL,NULL,"0"
"172","flanges","structure",NULL,NULL,NULL,NULL,NULL,"0"
